display_name,strategy_bucket,active,cnpj,manager,match_status,notes,source_label,subscription_status,subscription_status_source,subscription_status_checked_at,evidence_note
AF Invest Geraes,Crédito D<2,True,09.720.734/0001-10,AF Invest,matched,AF Invest FI Renda Fixa Crédito Privado Geraes,,unknown,,2026-04-08T15:37:55Z,CNPJ not found in CVM175 registro_classe or legacy cad_fi
Western Asset Total Credit,Crédito D<2,True,28.320.756/0001-37,Western Asset,matched,Western Asset Total Credit Advisory FIC FI RF CP,Western Asset total credit,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Drys Shelter,Crédito D<2,True,52.282.978/0001-97,Drys Capital,matched,Drys Shelter FIC de FI Financeiro RF CP LP RL (feeder),,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
AZ Quest Luce,Crédito D<2,True,23.556.185/0001-10,AZ Quest,matched,AZ Quest Luce FIC FI RF CP LP,AZ quest Luce,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
ARX Fuji,Crédito D<2,True,52.286.231/0001-07,ARX Investimentos,matched,ARX Fuji FIC de FIF RF CP Resp Ltda,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Cartor Insignia,Crédito D<2,True,44.434.922/0001-82,Cartor Capital,matched,Cartor Insignia FIF RF CP LP,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Compass Credit,Crédito D<2,True,35.408.329/0001-70,Compass Group,matched,Compass Credit Selection FIC FIF RF CP LP RL,Compass credit,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Riza Lotus,Crédito D<2,True,36.498.670/0001-27,Riza Asset,matched,Riza Lotus FI Renda Fixa Referenciado DI CP,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Itaú Active Fix,Crédito D<2,True,38.000.771/0001-51,Itaú Asset,matched,Itaú Active Fix All RF Crédito Privado LP FIC RL,Itau Active,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Occam Liquidez,Crédito D<2,True,46.098.897/0001-39,Occam Brasil,matched,Occam Liquidez FIC FIF RF CP RL,Occam liquidez,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Tyton Crédito,Crédito D<46,True,31.964.159/0001-50,Tyton Capital,matched,Tyton Crédito FI Financeiro Multimercado,Tyton cred,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Real Investor Crédito Estruturado 30,Crédito D<46,True,50.251.934/0001-74,Real Investor,matched,Real Investor Crédito Estruturado 30 FIC FIDC RL,Real investor Cred Estruturado 30,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Icatu Vanguarda Credit Plus,Crédito D<46,True,32.760.042/0001-17,Icatu Vanguarda,matched,Icatu Vanguarda Credit Plus FIF CIC RF CP RL,Icatu Vnaguarda credit plus,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
AF Invest Geraes 30,Crédito D<46,True,29.044.189/0001-04,AF Invest,matched,AF Investimento Geraes 30 FI RF CP,AF invest Geraes 30,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
SPX Seahawk,Crédito D<46,True,35.505.971/0001-78,SPX Capital,matched,SPX Seahawk FIF CIC RF CP LP RL,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Polo Total Credit,Crédito D<46,True,23.601.467/0001-92,Polo Capital,matched,Polo Total Credit FIC FIM,Polo total credit,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
JGP Crédito Advisory,Crédito D<46,True,28.767.162/0001-79,JGP Gestão de Crédito,matched,JGP Crédito Advisory FIF Multimercado CP RL,JGP Cred ADV,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
JGP Crédito Ecossistema 360,Crédito D>46,True,45.683.300/0001-50,JGP Gestão de Crédito,matched,JGP Crédito Ecossistema 360 Advisory FIC de FIF Multimercado CP RL,JGP CRED Ecossitema 360,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Angá Crédito Estruturado,Crédito D>46,True,23.034.819/0001-75,Angá Asset,matched,Angá Crédito Estruturado FIC FI Multimercado CP,Angá Cred estruturado,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Vinland Crédito Estruturado,Crédito D>46,True,47.640.954/0001-22,Vinland Capital,matched,Vinland Crédito Estruturado Multimercado FIC FI CP,Vinland Cred estruturado,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Root Capital High Yield,Crédito D>46,True,34.431.610/0001-61,Root Capital,matched,Root Capital High Yield Advisory FIC FIF Multimercado CP RL; user chose High Yield,Root Cpital,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Real Investor Crédito Estruturado 90,Crédito D>46,True,46.521.568/0001-59,Real Investor,matched,Real Investor Crédito Estruturado 90 FIC FIM CP,Real investr Cred Estrutu 90,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Riza Meyenii 180,Crédito D>46,True,36.498.149/0001-90,Riza Asset,matched,Riza Meyenii 180 Advisory FIC FIM CP; user chose 180,Riza Meyenni 180,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Pátria Crédito Estruturado,Crédito D>46,True,49.983.891/0001-32,Pátria Investimentos,matched,Pátria Crédito Estruturado 365 FIC FIM CP,Pátria cred estruturado,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
M8 Credit Strategy Plus,Crédito D>46,True,32.300.395/0001-34,M8 Partners,matched,M8 Credit Strategy Plus FIC FIM CP,M8 Credit strategy plus,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Polo Crédito Estruturado 90,Crédito D>46,True,43.164.438/0001-18,Polo Capital,matched,Polo Crédito Estruturado 90 FIC FIM CP,Polo credito estruturado 90,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
JGP Select Premium,Crédito D>46,True,26.525.450/0001-91,JGP Gestão de Crédito,matched,JGP Select Premium FIF Multimercado CP IE RL; credit strategy despite ANBIMA Multimercado wrapper; redemption ~59-89 days,,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Witpar,Long Only,True,16.876.874/0001-47,Witpar,matched,CVM175 class: WITPAR FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES; Classificacao_Anbima=Ações Livre,WITPAR FIF FIA,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Trígono Power & Yield 30,Long Only,True,40.265.153/0001-85,Trígono Capital,matched,CVM175 class: TRIGONO POWER & YIELD 30 FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES,Trigono Power & Yield 30,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Asset Bank,Crédito D<46,True,44.585.287/0001-34,Asset Bank,matched,CVM175 class: ASSET BANK - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS; multiple Asset Bank vehicles exist — this is the FIC FIDC (Aberto),Asset Bank FIC FIDC,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
Apuama Yara,Crédito D<46,True,34.027.976/0001-70,Apuama,matched,CVM175 class: APUAMA YARA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RES LIM,Apuama Yara Resp FIC FIDC,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
MCA CP,Crédito D<46,True,,,,Not found in CVM175 registro_classe or legacy cad_fi as of 2026-04-08; CNPJ unconfirmed,MCA CP FIC FIDC,unknown,,,CNPJ not confirmed; fund not found in CVM public registries
Solis Antares Light,Crédito D<46,True,34.780.531/0001-66,Solis Capital,matched,CVM175 class: SOLIS CAPITAL ANTARES LIGHT FI EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS (feeder/FIC vehicle),Solis Capital Antares Light,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
